hospital,highest_bill
"and Herrera, Brown Gordon",3464.44
"and Herrera, Cain Weiss",44875.91
"and Herrera, Cox Higgins",18877.61
"and Herrera, Kramer Holmes",22718.79
"and Herrera, Miller Adkins",40798.19
"and Herring Clark, Dorsey",47780.36
"and Herring Freeman, Tapia",46434.14
"and Herring Rivera Newton,",25964.88
"and Hess Baxter, Thomas",4280.92
"and Hess Delgado Foster,",32535.45
"and Hess, Nguyen Everett",6078.84
"and Hester Swanson, Glenn",36877.53
"and Hickman Sons",5022.52
"and Hicks Murray, Green",20991.59
"and Hicks Pham, Cooley",12129.24
"and Hicks Ray, Lloyd",21913.88
"and Hicks, Mathews Gilbert",18907.85
"and Hicks, Walker Jordan",50653.67
"and Higgins Gray, Hurst",10047.45
"and Higgins Mckay, Cruz",17338.25
"and Higgins Reese, Kirk",31281.98
"and Higgins Thompson Gaines,",18408.99
"and Hill Alvarez, Bridges",12173.44
"and Hill Carter, Stout",44683.80
"and Hill Collins, Navarro",5097.34
"and Hill Lawson Saunders,",6686.67
"and Hill Page Williams,",44993.41
"and Hill Ramirez Hart,",44259.35
"and Hill Rios, Taylor",2459.19
"and Hill Rodgers Pearson,",35845.48
"and Hill Sons",16307.44
"and Hill Taylor Lee,",24066.69
"and Hill Watson Dennis,",20214.91
"and Hill, Guerrero Perry",13799.70
"and Hines Gibson, Fritz",28906.81
"and Hines Sons",36984.60
"and Hines, Baker Hamilton",17346.14
"and Hobbs Jensen Johnson,",14551.56
"and Hobbs Rice, Miller",4537.85
"and Hobbs Sons",19943.35
"and Hobbs Warren Bird,",21937.24
"and Hodge Sons",40956.37
"and Hodge, Stephenson Jones",35432.62
"and Hodges Foley Garcia,",47558.09
"and Hoffman Blake Hernandez,",7183.54
"and Hoffman Bowman Lee,",25725.51
"and Hoffman, Christian Hunt",3176.66
"and Hogan, Walker Murphy",24281.26
"and Holland Aguilar, Jackson",38984.70
"and Holland Sons",23726.40
"and Holland Steele Ramsey,",23283.68
"and Holland Watkins Copeland,",48182.72
"and Holland, White Collins",43392.58
"and Holloway Davis, Winters",12705.14
"and Holloway Jimenez, Massey",16764.52
"and Holloway Robinson, Peterson",1644.11
"and Holloway Sons",14681.08
"and Holloway, Collins Marsh",7081.85
"and Holmes Fowler, Davis",49723.47
"and Holmes Krause, Goodman",21638.41
"and Holmes Mcbride Landry,",44255.31
"and Holmes Miller Paul,",37619.61
"and Holmes Moore Nelson,",8760.41
"and Holmes, Baker Mcclain",32581.22
"and Holmes, Brown Lee",40616.32
"and Holmes, Burgess Wood",28584.65
"and Hood, Davis Mann",30343.23
"and Hood, Snyder Price",32181.14
"and Hooper, Richmond Gardner",49940.11
"and Hoover Long, Johnson",3086.86
"and Hopkins Holland Murphy,",34403.72
"and Hopkins Jones, Mccullough",22185.24
"and Hopkins Robinson, Warren",40576.11
"and Hopkins Smith Young,",19888.00
"and Hopkins Sons",14569.98
"and Hopkins Wiley Tran,",46789.96
"and Hopkins, Bartlett Washington",35541.09
"and Hopkins, Lowery Wright",14352.15
"and Horne, Shaw Brown",48234.06
"and Horton Giles Parker,",7287.04
"and Horton Hernandez Hernandez,",43048.59
"and Horton Parker Hunter,",25205.78
"and Horton Sons",48947.72
"and Horton Welch Long,",8164.70
"and Horton, Knight Morton",10784.89
"and House Lopez, Rios",29161.23
"and House Welch Carter,",11827.56
"and Houston Orr Ramos,",30623.60
"and Houston, Miller Good",144.19
"and Houston, Mitchell Davenport",34977.28
"and Howard Carter, Hart",35843.45
"and Howard Clark Campbell,",5873.47
"and Howard Fischer Zimmerman,",4236.27
"and Howard Fuller, Friedman",5809.53
"and Howard Harvey, Hunt",18576.67
"and Howard King, Martinez",1547.89
"and Howard Nelson, Harrison",40526.67
"and Howard Oliver Harris,",21075.67
"and Howard Schroeder Williams,",19263.86
"and Howard Sons",19936.66
"and Howard Ward, Jordan",47806.00
"and Howard Wiggins, Hardy",43762.06
"and Howard, Mitchell Perez",45892.13
"and Howe Price, Fritz",13818.81
"and Howell Brooks, Rogers",25966.33
"and Howell Mendoza, Williams",40271.89
"and Howell Sons",26832.12
"and Howell Velasquez, Aguilar",42374.80
"and Howell, Richardson Fuentes",20000.53
"and Huang Schwartz Jones,",18198.94
"and Huang, Alvarez Gray",16666.10
"and Huang, Rivera Ryan",16922.71
"and Hubbard Bell Sanchez,",15392.08
"and Hubbard Johnson Green,",11997.24
"and Hubbard Juarez Carter,",2812.24
"and Hubbard Sons",35254.85
"and Hubbard, Fernandez Murphy",28351.17
"and Huber, Foster Hutchinson",15248.97
"and Huber, Lopez Bradshaw",18979.91
"and Hudson Huber Flores,",11227.28
"and Hudson Le, Carter",46465.41
"and Hudson Merritt Lynch,",25616.66
"and Hudson Sons",41355.66
"and Hudson, Kim Morris",45233.76
"and Huerta Perez Christensen,",1517.29
"and Huerta, Cox Price",42349.11
"and Huff Reeves, Dennis",-576.73
"and Huffman Mitchell, Mitchell",31690.95
"and Huffman Swanson, Nelson",4778.72
"and Huffman Wright, Velez",8468.83
"and Hughes Castillo, Rodgers",28166.71
"and Hughes Cowan, Bell",23807.56
"and Hughes Green, Campbell",32405.74
"and Hughes Johnson Ward,",14528.21
"and Hughes Sullivan, Payne",10059.19
"and Hughes Taylor Malone,",48013.69
"and Hughes Thomas, Newton",49824.93
"and Hughes, Brown Zavala",43473.27
"and Hughes, Gaines Mcdowell",11042.51
"and Hughes, Hester Miller",33928.54
"and Hughes, Rice Brown",24012.54
"and Hull Douglas, Martin",8683.73
"and Hull White, Best",29282.00
"and Hull, Brown Byrd",5272.11
"and Humphrey Martin, Perry",10968.91
"and Humphrey Rivera, Mcdonald",4012.08
"and Humphrey, Moore Williams",25610.12
"and Hunt Sons",7173.16
"and Hunt, Andrews Watson",1496.24
"and Hunt, Jones Richardson",44717.92
"and Hunt, Jones Rodriguez",45111.16
"and Hunt, Warner Everett",42102.26
"and Hunter Brown Kelly,",20424.26
"and Hunter Chan, Hess",19426.91
"and Hunter Glenn Scott,",39151.46
"and Hunter Hamilton, Bryant",7967.77
"and Hunter Richardson Miller,",31147.03
"and Hunter Sanders, Gray",12096.01
"and Hunter Sons",23916.71
"and Hunter Strickland Mathis,",7267.57
"and Hunter, Young Price",16579.79
"and Hurley Thomas Davidson,",6668.91
"and Hurst, Page Jones",32463.07
"and Hutchinson, Livingston Green",47120.86
"and Huynh Stewart, Preston",26872.72
"and Huynh, Barron Orr",46334.78
"and Ibarra Lang Porter,",25167.75
"and Ibarra Lutz Shields,",19140.95
"and Ingram Johnson, Russo",7257.77
"and Jackson Acosta, Boyle",25680.66
"and Jackson Bradley, Rodriguez",22456.77
"and Jackson Brooks Gordon,",13297.21
"and Jackson Brown Green,",45753.53
"and Jackson Brown, Reese",33644.26
"and Jackson Burgess Dennis,",13257.20
"and Jackson Fox, Bishop",19250.61
"and Jackson Harris Blair,",47575.79
"and Jackson Harvey Douglas,",27452.74
"and Jackson Hernandez Sanchez,",5925.51
"and Jackson Johnson, Anderson",30084.48
"and Jackson Mccall, Kelly",12592.65
"and Jackson Smith Elliott,",16261.28
"and Jackson Sons",48641.35
"and Jackson Stephens Orozco,",49205.56
"and Jackson, Miles Allen",28475.18
"and Jackson, Mitchell Marks",32449.01
"and Jackson, Parker Nelson",7029.60
"and Jackson, Perry Cohen",25710.55
"and Jackson, Raymond Valdez",37410.03
"and Jacobs Duke, Herrera",34479.83
"and Jacobs Martin, Gould",25702.88
"and Jacobs Sons",33922.04
"and Jacobs, Hernandez Chavez",30516.14
"and Jacobs, Miller Henson",22397.07
"and Jacobs, Pena Fox",22463.35
"and Jacobs, Robinson Nelson",41340.74
"and Jacobson Eaton, Reynolds",42532.20
"and Jacobson Rodriguez Robertson,",19033.72
"and James Miller Smith,",6967.62
"and James Rose, Shields",5510.76
"and James Schneider Bradley,",36141.75
"and James Smith George,",28926.57
"and James Watts Herman,",16937.38
"and James, Browning Mooney",16536.69
"and James, Buck Alvarez",11847.11
"and James, Edwards Thompson",4659.79
"and James, Nelson King",45576.96
"and Jefferson Blair Hogan,",32048.62
"and Jenkins Bradford Evans,",43559.32
"and Jenkins Foster Bowers,",45425.87
"and Jenkins Lowery Moore,",24032.64
"and Jenkins Sons",7780.15
"and Jennings Lee, Anderson",12908.11
"and Jennings Sons",12477.33
"and Jensen Harrison Ross,",15291.72
"and Jensen Rogers Lee,",1428.22
"and Jensen Torres, Kim",11748.77
"and Jensen, Peterson Hunt",8986.00
"and Jimenez Copeland Franklin,",28652.46
"and Jimenez Fields, Hanson",3802.21
"and Jimenez Gardner, Harris",6603.57
"and Jimenez Johnson Nelson,",7054.01
"and Jimenez Johnson, Moore",11629.63
"and Jimenez Jones, Yang",35694.98
"and Jimenez Sons",29831.64
"and Jimenez Ward, Carpenter",45012.46
"and Jimenez Webster Silva,",11954.61
"and Jimenez Yoder, Andrews",39781.39
"and Jimenez, Gonzalez Campbell",20195.51
"and Jimenez, Jenkins Patton",41214.33
"and Johns Gardner, Brown",21448.78
"and Johns Spencer, George",15832.56
"and Johns, Reyes Esparza",16324.38
"and Johnson Anderson Miles,",24045.77
"and Johnson Atkinson Johnson,",14161.33
"and Johnson Baker, Brandt",46406.40
"and Johnson Barnett, Ramsey",36114.78
"and Johnson Bradley, Williams",30689.65
"and Johnson Brown, Hernandez",44488.81
"and Johnson Bryant, King",45026.62
"and Johnson Buck Silva,",25048.50
"and Johnson Campbell Castro,",6445.85
"and Johnson Cantrell Ford,",20905.51
"and Johnson Clements Conrad,",19425.06
"and Johnson Coleman Jackson,",14071.25
"and Johnson Colon, White",40071.97
"and Johnson Cross, Mitchell",38303.32
"and Johnson Cunningham, Cooper",47677.09
"and Johnson Davis Thompson,",25412.00
"and Johnson Evans, Frazier",43402.42
"and Johnson Flores Martinez,",9601.07
"and Johnson Franklin, Watkins",8092.71
"and Johnson Gomez, Silva",19899.04
"and Johnson Henderson, Lin",21962.60
"and Johnson Hernandez Morgan,",7929.41
"and Johnson Hobbs Owens,",36238.58
"and Johnson Howard, Gutierrez",13702.20
"and Johnson Jackson Mathews,",14172.66
"and Johnson James, Walters",38864.31
"and Johnson Johnson Evans,",34757.01
"and Johnson Johnson Todd,",18008.64
"and Johnson Key Small,",17956.84
"and Johnson Leonard, Smith",21989.13
"and Johnson Lopez, Welch",29730.29
"and Johnson Moore, Branch",-502.51
"and Johnson Morales, Smith",45321.37
"and Johnson Murray, King",42724.51
"and Johnson Nelson Berg,",46182.67
"and Johnson Owens, Peterson",5054.72
"and Johnson Palmer Baker,",39821.81
"and Johnson Perez, Hernandez",43095.33
"and Johnson Poole Roberson,",35121.09
"and Johnson Porter, Sims",46401.44
"and Johnson Proctor, Medina",25877.69
"and Johnson Ramirez Poole,",34517.00
"and Johnson Reed Price,",25920.13
"and Johnson Rodriguez, Nelson",29355.98
"and Johnson Rogers Garcia,",50067.70
"and Johnson Sandoval, Scott",49864.39
"and Johnson Smith, Adams",5790.42
"and Johnson Sons",44706.47
"and Johnson Spencer, Castillo",33566.02
"and Johnson Turner Allen,",27988.77
"and Johnson Walker Bruce,",86.13
"and Johnson Waller, Stevens",17088.78
"and Johnson Weber, Fisher",33186.10
"and Johnson Welch, Jackson",8464.49
"and Johnson Wright Carter,",14657.57
"and Johnson, Anderson Garcia",29274.30
"and Johnson, Bird Clark",38441.18
"and Johnson, Browning Kaufman",28472.19
"and Johnson, Carter Johnston",19190.26
"and Johnson, Chen Johnson",13333.02
"and Johnson, Cox Lozano",40942.39
"and Johnson, Davis Middleton",45618.37
"and Johnson, Deleon Rogers",43547.47
"and Johnson, Hernandez Walsh",3233.31
"and Johnson, Hernandez Yang",5381.37
"and Johnson, Jackson Clements",48266.21
"and Johnson, Johnson Reynolds",42632.62
"and Johnson, Johnson Wagner",27482.44
"and Johnson, Mccoy Robertson",33385.60
"and Johnson, Mcdowell Hoffman",46903.16
"and Johnson, Munoz Anderson",17241.18
"and Johnson, Newton Jensen",47314.54
"and Johnson, Nichols Moreno",26697.14
"and Johnson, Ortiz Gonzalez",19965.41
"and Johnson, Patterson Day",42591.90
"and Johnson, Raymond Robinson",49310.22
"and Johnson, Rowland Lopez",25598.31
"and Johnson, Silva Flowers",22380.21
"and Johnson, Thomas Summers",16248.51
"and Johnson, Weber Olson",396.99
"and Johnson, Williams Ryan",49525.42
"and Johnson, Wood Massey",9018.30
"and Johnson, Young Davila",18913.33
"and Johnston Chan, Miles",17224.33
"and Johnston Gill Mathis,",22832.15
"and Johnston Richardson Hodge,",11344.78
"and Johnston Sons",19086.66
"and Jones Allen, Gallagher",21112.88
"and Jones Bishop James,",3353.04
"and Jones Carroll Salazar,",38912.17
"and Jones Coleman Lewis,",44527.37
"and Jones Coleman, Willis",5843.15
"and Jones Cox Palmer,",8403.76
"and Jones Cruz, Patton",11935.61
"and Jones Davidson, Roberts",8952.20
"and Jones Davis Newton,",45864.38
"and Jones Graham Short,",2858.89
"and Jones Graves Zhang,",12816.68
"and Jones Gross, Bird",12742.29
"and Jones Guerrero, Tate",5992.50
"and Jones Hancock, Sanchez",2866.32
"and Jones Jones Conley,",42335.03
"and Jones Lawson White,",32121.58
"and Jones Mahoney, Robinson",39976.01
"and Jones Meadows Jimenez,",11032.08
"and Jones Morales Ruiz,",30615.53
"and Jones Morris, Bernard",18077.19
"and Jones Perez Gregory,",41756.72
"and Jones Perez, Brown",6719.85
"and Jones Perry, Hill",20445.67
"and Jones Phillips Garner,",43655.03
"and Jones Rodriguez Mccoy,",30695.56
"and Jones Rose, Reynolds",17675.22
"and Jones Roth Keith,",30231.73
"and Jones Sherman, Miller",38242.49
"and Jones Sons",38967.26
"and Jones Stevens Tyler,",28079.59
"and Jones Sutton Nichols,",8358.66
"and Jones Valenzuela Sanders,",43148.97
"and Jones Wilson, Kelly",14651.46
"and Jones, Brown Anderson",29593.29
"and Jones, Brown Fisher",30765.73
"and Jones, Burns Cantrell",32673.52
"and Jones, Carrillo Stanton",42095.77
"and Jones, Dixon Armstrong",43362.41
"and Jones, Evans Williams",5469.47
"and Jones, Gibson Jones",40925.53
"and Jones, Marshall Jackson",2857.94
"and Jones, Martin Newman",12320.68
"and Jones, Mendoza Sims",7665.90
"and Jones, Rojas Robles",48160.75
"and Jones, Spencer Hernandez",32603.02
"and Jones, Tran Schultz",15464.01
"and Jordan Cowan, Glass",25857.71
"and Jordan Hansen, Hall",21763.73
"and Jordan Hoffman, Turner",3561.66
"and Jordan Mccann Wood,",13659.46
"and Jordan White, Welch",28325.88
"and Jordan, Maynard Jackson",5224.43
"and Jordan, Roberts Matthews",46543.82
"and Jordan, Smith Smith",14034.78
"and Joseph Kelly Blake,",33421.25
"and Joseph Thomas, Luna",2769.93
"and Joseph Yu Robinson,",9355.07
"and Joseph, Roberson Wang",12374.12
"and Joyce Sons",27156.90
"and Joyce, Holland Jensen",22427.04
"and Juarez Johnson, Stone",37126.31
"and Kane Moody, Velasquez",43709.75
"and Kaufman Christian Harris,",23991.93
"and Keith Barnes, Spencer",33615.16
"and Keith Sons",22218.65
"and Keller Rodriguez, Thomas",15058.84
"and Keller Sons",10993.96
"and Keller, Garcia Rios",45162.76
"and Keller, Ortega Miller",4243.20
"and Kelley Bryant Baker,",42170.15
"and Kelley Durham, Stevens",8207.71
"and Kelley Miller Baldwin,",12733.58
"and Kelley Roberts, Campbell",34405.71
"and Kelley Sons",1725.83
"and Kelley, Brown Johnson",48989.06
"and Kelley, Paul Sullivan",28509.16
"and Kelley, Thomas Oconnor",2124.53
"and Kelly Hancock, Fitzgerald",35404.57
"and Kelly Jackson, Thomas",18128.81
"and Kelly Johnson Nielsen,",19734.58
"and Kelly Reed Adams,",35265.63
"and Kelly Sons",13100.30
"and Kemp Murphy, Lewis",49456.10
"and Kennedy Baker, Mann",23833.18
"and Kennedy Montgomery Horne,",4719.56
"and Kennedy Schmidt, Campbell",34257.96
"and Kennedy Sons",5078.63
"and Kennedy White, Garcia",8241.18
"and Kennedy, Craig Watkins",27118.85
"and Kent, Collins Herrera",40780.67
"and Key, Thomas Wright",49585.74
"and Khan, Foster Beard",3099.40
"and Kidd Singh Cameron,",42230.33
"and Kidd, Jenkins Mitchell",13204.45
"and Kidd, Martinez Acevedo",29891.83
"and Kim Anderson Adams,",46999.36
"and Kim Brown, Jackson",11917.75
"and Kim Price Smith,",20309.29
"and Kim Sons",32974.15
"and Kim Sullivan Perkins,",22056.86
"and Kim Tucker Hayes,",20084.47
"and Kim, Alvarado Whitaker",50190.06
"and Kim, Brown Blackburn",2989.07
"and Kim, Cox Pearson",17160.52
"and Kim, Kennedy Brennan",50496.83
"and King Anderson, Scott",42699.74
"and King Carter Kaufman,",19716.35
"and King Greene Lang,",21761.03
"and King Herring, Johnson",19292.88
"and King Hicks, Mullins",24491.46
"and King Johnson, Lawrence",46897.13
"and King Jordan Johnson,",15715.55
"and King Miranda, Shelton",29386.01
"and King Olson Thompson,",6923.08
"and King Sanchez, Lee",42329.42
"and King Sons",45473.83
"and King Walker Moore,",11161.27
"and King, Burnett Ward",11403.31
"and King, Fuller Chavez",47288.34
"and King, King White",5436.13
"and King, Robinson Valentine",4693.43
"and King, Rodriguez Swanson",27379.44
"and King, Vega Jones",2068.43
"and King, Weeks Cole",18833.07
"and Kirby Ballard Williams,",1799.82
"and Kirk Sons",22340.97
"and Kirk Wheeler, Davenport",8952.63
"and Klein Phillips Obrien,",38275.71
"and Klein Thomas, Hatfield",20818.44
"and Klein Thomas, Miller",36812.94
"and Knight Howe Humphrey,",48131.47
"and Knight, Sandoval Black",31658.90
"and Knox Butler Perkins,",50737.45
"and Knox Flores, Christian",16928.79
"and Koch Newton Sanders,",49457.58
"and Koch Sons",8266.46
"and Kramer Miller Anderson,",48397.19
"and Kramer Sons",10826.76
"and Kramer Ward, White",28315.76
"and Kramer, Diaz Brooks",7441.98
"and Krause Atkinson, Rodgers",43218.15
"and Krause Martin, Bass",1939.42
"and Krause Walters Bird,",25722.58
"and Krueger Chavez, Williams",42537.17
"and Lam Reyes, Smith",12090.53
"and Lam Valentine, Stewart",23880.58
"and Lam, Davis Thompson",8721.88
"and Lamb, Fernandez Gomez",27779.50
"and Lambert Pope, Snow",39885.88
"and Lambert Price Adams,",45950.52
"and Lambert Sons",13936.60
"and Lambert White, Vargas",31732.13
"and Lambert Wilson, Cooper",19917.66
"and Landry Trujillo, Neal",12940.33
"and Lane Jones, Hill",27927.09
"and Lane Mills Gomez,",39733.44
"and Lane Monroe Boyd,",46172.97
"and Lane Taylor Fuentes,",27253.60
"and Lane, Sellers Hill",13341.01
"and Lang Frye Bradford,",49744.99
"and Lang Grant, King",6325.70
"and Lang, Brown Jackson",22297.38
"and Lara Collins, Soto",49533.97
"and Lara White, Warren",47007.31
"and Lara, Rivas Wilson",24285.36
"and Larsen, Kelly Ibarra",34749.32
"and Larson Gillespie Lester,",1247.67
"and Larson Moyer Patrick,",33995.58
"and Larson Romero Odom,",11018.64
"and Larson Sons",34392.08
"and Larson, Neal Young",41188.22
"and Larson, White Carr",8009.67
"and Lawrence Brown Petty,",13517.57
"and Lawrence Combs Carpenter,",44751.03
"and Lawrence Medina Ellis,",32225.64
"and Lawrence Schwartz, Dennis",40322.39
"and Lawrence, Higgins Anderson",9506.14
"and Lawrence, Reyes Nguyen",24356.52
"and Lawrence, Williams Thomas",45888.70
"and Lawson Garcia, Wilson",18929.77
"and Lawson Meyer Armstrong,",24522.51
"and Lawson Sons",25447.58
"and Lawson, Hampton Carpenter",504.74
"and Le Martin Young,",43374.01
"and Le, Estes Evans",25554.46
"and Le, Jenkins Sawyer",13488.05
"and Leach Bradley Wade,",12699.32
"and Leblanc Jordan, Matthews",20784.35
"and Leblanc Soto, King",6744.33
"and Lee Castillo, Johnson",14290.88
"and Lee Cobb, Haynes",43634.35
"and Lee Farmer Wilcox,",19868.30
"and Lee Harper, Mccoy",37389.32
"and Lee Jones, Coleman",14298.93
"and Lee Lopez, Wells",3700.42
"and Lee Martin Miller,",39586.29
"and Lee Nguyen Gonzalez,",42030.88
"and Lee Peck Alexander,",3713.08
"and Lee Peterson Williams,",21860.34
"and Lee Rodriguez Morris,",18047.55
"and Lee Rodriguez, Dyer",41651.31
"and Lee Schneider, Kelley",17764.73
"and Lee Sons",48590.77
"and Lee Walter, Anderson",29538.89
"and Lee Wu Mejia,",37368.27
"and Lee Zamora Horton,",9876.80
"and Lee, Berry Johnson",4184.88
"and Lee, Bishop Nelson",39622.33
"and Lee, Diaz Lewis",39930.51
"and Lee, Fletcher Davis",6268.34
"and Lee, Gardner Anderson",13328.38
"and Lee, George Holland",44641.82
"and Lee, Martinez Taylor",5484.82
"and Lee, Ramirez Taylor",29049.72
"and Lee, Scott Miller",7304.39
"and Leon Anderson, Arnold",21623.04
"and Leon Cooper, Smith",44864.13
"and Leon, Casey Walls",35159.98
"and Leonard Brown George,",42266.15
"and Leonard Graham Bryant,",35851.17
"and Leonard Sons",14734.61
"and Leonard Valenzuela, Anderson",39659.30
"and Leonard, Fitzgerald Wells",42887.52
"and Lester Griffith, Weiss",39160.45
"and Levine, Rodriguez Boone",8903.16
"and Levy Patterson, Farley",46398.59
"and Levy Sons",40428.73
"and Lewis Arnold Davis,",32685.40
"and Lewis Bailey, Pope",13593.06
"and Lewis Blanchard, Mendoza",15843.40
"and Lewis Bush Kelley,",24943.13
"and Lewis Butler York,",35593.50
"and Lewis Cohen, Buck",34955.08
"and Lewis Fischer, Harrell",4748.54
"and Lewis Glass Rios,",32602.77
"and Lewis Hamilton Roach,",30826.99
"and Lewis Hernandez, Harrison",2460.90
"and Lewis Jones Taylor,",12412.13
"and Lewis Miller, Taylor",43025.55
"and Lewis Patel, Kim",40610.12
"and Lewis Rose, Thompson",16959.10
"and Lewis Sons",30094.95
"and Lewis Stanton, Peters",15683.66
"and Lewis Terrell Baker,",7056.53
"and Lewis Thomas Carter,",5957.19
"and Lewis Walker, Butler",28422.14
"and Lewis Wheeler Moon,",6555.12
"and Lewis Wilson Wright,",32066.66
"and Lewis Wright James,",12923.21
"and Lewis Young Hartman,",19421.66
"and Lewis, Booth Burke",7695.86
"and Lewis, Douglas Rodriguez",48295.21
"and Lewis, Edwards Harvey",33458.01
"and Lewis, Griffin Graham",4865.09
"and Lewis, Hardy Cooper",24346.52
"and Lewis, Johnson Townsend",3658.47
"and Lewis, Morgan Foster",1672.85
"and Lewis, Wilson Moody",32140.08
"and Lin Sons",25724.44
"and Lin, Friedman Lopez",41549.11
"and Lindsey Alvarado Bailey,",12029.38
"and Lindsey Evans Steele,",11969.40
"and Lindsey Smith, Gay",31131.41
"and Little Fowler Bush,",6752.81
"and Little Hoffman Baker,",40386.18
"and Little Roberts, Watson",39985.27
"and Little Simmons Kelly,",43932.86
"and Little Tanner, Gonzalez",40074.43
"and Little Taylor Stewart,",31154.85
"and Liu Everett Allison,",6602.19
"and Liu Martinez Burnett,",46002.59
"and Liu Turner Richards,",4163.38
"and Liu, Crane Lewis",40389.99
"and Liu, Thompson Mooney",36293.32
"and Liu, Williams Wiggins",32171.25
"and Lloyd Kline Parker,",20522.65
"and Lloyd Mason Johnson,",2240.15
"and Lloyd Wells Smith,",10570.87
"and Logan Mejia Johnson,",43305.50
"and Logan Murray Mathews,",4376.50
"and Long Carr, Johnson",19783.94
"and Long Clark, Carroll",43528.63
"and Long Deleon, Hobbs",3444.54
"and Long Fitzgerald, Huber",41578.31
"and Long Oneill, Knapp",11525.00
"and Long Rush, Robinson",30408.53
"and Long Simmons Clark,",46054.89
"and Long, Bryan Gross",20238.28
"and Long, Green Carroll",32837.50
"and Lopez Alvarez, Bishop",35157.11
"and Lopez Bennett, Ross",2747.89
"and Lopez Cross, Marshall",38098.04
"and Lopez Cummings Harris,",22745.62
"and Lopez Dean, Rowland",17869.43
"and Lopez Deleon Nichols,",33331.27
"and Lopez Edwards, Robinson",33679.23
"and Lopez Fields, Fletcher",5307.14
"and Lopez Gonzalez, Harding",4441.19
"and Lopez Jensen Hernandez,",10535.74
"and Lopez Lee, Schmitt",33051.66
"and Lopez Mann Patterson,",13108.65
"and Lopez Miller, Mccarty",50810.90
"and Lopez Moore Evans,",45282.94
"and Lopez Moreno Mcpherson,",5746.05
"and Lopez Phillips, King",20655.78
"and Lopez Phillips, Mason",36100.47
"and Lopez Phillips, Rodriguez",44005.77
"and Lopez Sanchez, Davies",22744.11
"and Lopez Singleton Boyle,",13114.91
"and Lopez Sons",34813.89
"and Lopez Stevens, Johnson",21234.65
"and Lopez Tyler Vasquez,",15069.38
"and Lopez Villegas French,",39929.04
"and Lopez Wood Hopkins,",49169.76
"and Lopez, Allen Kelly",46362.94
"and Lopez, Archer Miller",8284.60
"and Lopez, Arroyo Thornton",14058.75
"and Lopez, Bowen Barrett",20581.52
"and Lopez, Campbell Cooley",7794.59
"and Lopez, Dyer Lee",7339.44
"and Lopez, Fisher Wall",1059.76
"and Lopez, Moss Robles",49372.15
"and Lopez, Oconnor Perkins",28579.05
"and Lopez, Sullivan Newman",11746.00
"and Lowe Johnson, Yang",41137.20
"and Lozano Carpenter, Erickson",20531.53
"and Lozano Hill Moore,",18750.03
"and Lucas Sons",31712.76
"and Lucas, Owens Graves",28573.73
"and Lucas, Wong Fernandez",24597.65
"and Lucero Sons",1216.98
"and Lucero Wang Graves,",47001.84
"and Luna Castro, Stevens",2770.90
"and Luna Johnson Chavez,",44097.58
"and Luna Ochoa, Welch",39216.91
"and Luna, Francis Reynolds",20403.40
"and Lutz, Smith White",18468.90
"and Lynch Brown, Stewart",32752.86
"and Lynch Dean Young,",34190.80
"and Lynch Fernandez Curtis,",22286.67
"and Lynch Rodriguez Clark,",39878.39
"and Lynch Sons",48768.11
"and Lynch, Griffin Sanchez",23366.65
"and Lynch, Lewis Turner",15615.04
"and Lynn Hicks Hayes,",15635.24
"and Lyons Young Morton,",47248.78
"and Lyons, Clayton Herman",9441.26
"and Lyons, Johnson Fisher",2468.81
"and Lyons, Perry Davis",45159.63
"and Lyons, Washington Horne",19052.95
"and Macdonald Campbell, Walker",44470.40
"and Mack Davis, Smith",10656.14
"and Mack Williams, Cline",21441.65
"and Mack, Avery Livingston",48607.41
"and Mack, Garrett Grant",32687.65
"and Madden Paul Kim,",32320.04
"and Maddox, Parks Smith",47386.26
"and Mahoney Johnson Vasquez,",27620.76
"and Mahoney Sons",20251.62
"and Mahoney Watts, Ellis",5462.51
"and Mahoney, Cabrera Thomas",45924.79
"and Maldonado Davenport, Brown",41785.19
"and Maldonado Mora Gonzalez,",35400.38
"and Maldonado Soto Carpenter,",44863.56
"and Maldonado, Owens Wright",19850.29
"and Malone Holt Lopez,",45231.93
"and Malone Johnson, Moore",33308.29
"and Malone Sons",17670.80
"and Mann Ball Guerrero,",42584.64
"and Mann Beltran, Perkins",45412.67
"and Mann Cain, Clark",13529.41
"and Mann Turner, Goodman",17406.75
"and Manning Sons",36476.31
"and Manning Stephenson Jenkins,",29400.63
"and Manning Vang, Zamora",3956.68
"and Manning Williams, Warren",30687.89
"and Marks Arnold Alvarez,",14804.39
"and Marks Brown Owens,",44739.32
"and Marquez Silva Smith,",48995.98
"and Marquez, Delacruz Davila",27829.67
"and Marsh Swanson, Castillo",28522.93
"and Marshall Brown Moore,",18097.34
"and Marshall Garcia, Fletcher",8577.60
"and Marshall Harris Marks,",34840.94
"and Marshall Johnson Williams,",23248.54
"and Marshall Kelley Tapia,",12904.58
"and Marshall Townsend, Butler",1810.31
"and Marshall Wilkins, Carlson",47606.77
"and Marshall, Burton Mueller",40942.14
"and Marshall, Carter Gilbert",16980.38
"and Marshall, Dudley Jones",10992.11
"and Marshall, Kennedy Wilkinson",41016.40
"and Marshall, Wood Lee",28831.35
"and Martin Abbott Jackson,",36330.03
"and Martin Anderson, Gibson",33593.79
"and Martin Ferguson, Warner",12407.15
